"Var1","Var2","distance"
"ENCFF739ERP","ENCFF780HTF",0.791763067331671
"ENCFF443ABK","ENCFF780HTF",1.82732932668329
"ENCFF273IBF","ENCFF780HTF",3.78332822942643
"ENCFF802BJP","ENCFF780HTF",4.07718017456359
"ENCFF163CUI","ENCFF780HTF",2.76781253117207
"ENCFF411WKH","ENCFF780HTF",3.18500680798005
"ENCFF747NRM","ENCFF780HTF",2.48321642144638
"ENCFF389LEX","ENCFF780HTF",1.91216345386534
"ENCFF188HFB","ENCFF780HTF",2.2738330798005
"ENCFF103YQS","ENCFF780HTF",3.49304992518703
"ENCFF443KJS","ENCFF780HTF",1.50984701995012
"ENCFF219KHR","ENCFF780HTF",1.31844011221945
"ENCFF754XAQ","ENCFF780HTF",7.05909038653367
"ENCFF241AOZ","ENCFF780HTF",6.95648983790524
"ENCFF705SDK","ENCFF780HTF",4.52385566084788
"ENCFF853FGC","ENCFF780HTF",4.86332735660848
"ENCFF082VUD","ENCFF780HTF",4.52735134663342
"ENCFF076GHL","ENCFF780HTF",4.95894421446384
"ENCFF127WMZ","ENCFF780HTF",3.42287630922693
"ENCFF540HIX","ENCFF780HTF",3.9314730798005
"ENCFF259HTD","ENCFF780HTF",3.55747894014963
"ENCFF825AVT","ENCFF780HTF",2.07789271820449
"ENCFF733BEV","ENCFF780HTF",2.04905357855362
"ENCFF193VAQ","ENCFF780HTF",3.04354600997506
"ENCFF787HQF","ENCFF780HTF",3.66255235660848
"ENCFF715LJJ","ENCFF780HTF",2.43393543640898
"ENCFF502OYV","ENCFF780HTF",5.37376566084788
"ENCFF766DUS","ENCFF780HTF",5.13669447630923
"ENCFF454MWQ","ENCFF780HTF",6.86971162094763
"ENCFF372VPV","ENCFF780HTF",3.48249822942643
"ENCFF683EWG","ENCFF780HTF",3.35104630922693
"ENCFF790BKB","ENCFF780HTF",3.14296209476309
"ENCFF669TNM","ENCFF780HTF",2.55193623441397
"ENCFF856EHA","ENCFF780HTF",4.06018461346633
"ENCFF674TKN","ENCFF780HTF",4.35154995012469
"ENCFF302ROS","ENCFF780HTF",3.60734781795511
"ENCFF763ZLD","ENCFF780HTF",1.51693298004988
"ENCFF518MSP","ENCFF780HTF",1.36916541147132
"ENCFF361GRY","ENCFF780HTF",3.07665135910224
"ENCFF288IBH","ENCFF780HTF",2.79129948877805
"AKAP1_HepG2_rep2","ENCFF780HTF",1.20755167082294
"AKAP1_K562_rep2","ENCFF780HTF",1.97641482543641
"APOBEC3C_K562_rep1","ENCFF780HTF",4.00477041147132
"CPSF6_K562_rep2","ENCFF780HTF",3.38995457605985
"DDX55_HepG2_rep1","ENCFF780HTF",3.27851971321696
"DDX55_K562_rep1","ENCFF780HTF",3.76248985037406
"DDX6_K562_rep2","ENCFF780HTF",3.03331558603491
"FAM120A_HepG2_rep2","ENCFF780HTF",2.32443879052369
"FAM120A_K562_rep2","ENCFF780HTF",2.71394418952618
"FUBP3_HepG2_rep2","ENCFF780HTF",3.5403822319202
"FUS_K562_rep1","ENCFF780HTF",2.12361199501247
"GRSF1_HepG2_rep1","ENCFF780HTF",1.30979703241895
"HNRNPK_HepG2_rep1","ENCFF780HTF",6.31368255610973
"HNRNPK_K562_rep2","ENCFF780HTF",6.74635721945137
"IGF2BP1_HepG2_rep1","ENCFF780HTF",4.44608517456359
"IGF2BP1_K562_rep1","ENCFF780HTF",4.70803069825436
"IGF2BP2_K562_rep2","ENCFF780HTF",4.64349490024938
"IGF2BP3_HepG2_rep2","ENCFF780HTF",4.39780164588529
"KHSRP_K562_rep1","ENCFF780HTF",3.33463940149626
"LARP4_HepG2_rep2","ENCFF780HTF",4.2460222319202
"LARP4_K562_rep1","ENCFF780HTF",3.60992864089776
"LSM11_HepG2_rep2","ENCFF780HTF",2.57424738154613
"LSM11_K562_rep2","ENCFF780HTF",3.04778857855362
"NOLC1_K562_rep1","ENCFF780HTF",3.09549566084788
"PABPC4_K562_rep2","ENCFF780HTF",4.33315226932668
"PABPN1_HepG2_rep2","ENCFF780HTF",2.57976112219451
"PCBP1_HepG2_rep2","ENCFF780HTF",5.78584622194514
"PCBP1_K562_rep1","ENCFF780HTF",5.46236350374065
"PCBP2_HepG2_rep2","ENCFF780HTF",7.25500133416459
"PUM2_K562_rep2","ENCFF780HTF",3.78245716957606
"SLBP_K562_rep1","ENCFF780HTF",4.14651943890274
"SUB1_HepG2_rep1","ENCFF780HTF",3.65549068578554
"TARDBP_K562_rep2","ENCFF780HTF",2.63802283042394
"TIA1_HepG2_rep1","ENCFF780HTF",3.97742908977556
"TIA1_K562_rep1","ENCFF780HTF",3.98734740648379
"TIAL1_HepG2_rep1","ENCFF780HTF",3.66159335411471
"UPF1_HepG2_rep1","ENCFF780HTF",1.02443501246883
"UPF1_K562_rep1","ENCFF780HTF",1.68046187032419
"ZC3H11A_HepG2_rep1","ENCFF780HTF",3.28534836658354
"ZC3H11A_K562_rep2","ENCFF780HTF",3.05280809226933
"ENCFF780HTF","ENCFF016YOC",1.29844349127182
"ENCFF016YOC","ENCFF016YOC",0
"ENCFF943EZJ","ENCFF016YOC",2.71295497506234
"ENCFF751GZQ","ENCFF016YOC",2.2715050872818
"ENCFF145NQB","ENCFF016YOC",2.0336366957606
"ENCFF162LAM","ENCFF016YOC",2.09118295511222
"ENCFF515CUN","ENCFF016YOC",1.52030544887781
"ENCFF704TQZ","ENCFF016YOC",1.07777366583541
"ENCFF184QYU","ENCFF016YOC",1.61741900249377
"ENCFF149SFF","ENCFF016YOC",2.54971466334165
"ENCFF210ZRQ","ENCFF016YOC",1.33862310473815
"ENCFF059PZS","ENCFF016YOC",1.3597879925187
"ENCFF198ISB","ENCFF016YOC",3.3721866084788
"ENCFF894NKS","ENCFF016YOC",3.20119072319202
"ENCFF427IMN","ENCFF016YOC",3.53237836658354
"ENCFF544NQL","ENCFF016YOC",3.93846043640898
"ENCFF589JKO","ENCFF016YOC",3.25653478802993
"ENCFF270FPU","ENCFF016YOC",4.67650306733167
"ENCFF698TGL","ENCFF016YOC",2.95211851620948
"ENCFF202RTW","ENCFF016YOC",2.07103293017456
"ENCFF685FNB","ENCFF016YOC",1.63293064837905
"ENCFF252SPM","ENCFF016YOC",1.88026218204489
"ENCFF938CFK","ENCFF016YOC",0.984692581047381
"ENCFF102JHG","ENCFF016YOC",1.67725781795511
"ENCFF551NSA","ENCFF016YOC",1.90422266832918
"ENCFF974AOE","ENCFF016YOC",1.40417456359102
"ENCFF138HUE","ENCFF016YOC",1.54359311720698
"ENCFF041ETC","ENCFF016YOC",2.66063865336658
"ENCFF803QKO","ENCFF016YOC",4.47963497506234
"ENCFF231WHF","ENCFF016YOC",2.54484885286783
