"file","protein","cell","input"
"ENCFF502RSZ","AARS","K562",FALSE
"ENCFF127GEV","CDC40","HepG2",TRUE
"ENCFF685EEV","RPS5","HepG2",TRUE
"ENCFF826DXS","DROSHA","K562",TRUE
"ENCFF198ISB","HNRNPK","HepG2",FALSE
"ENCFF553XCL","HNRNPK","HepG2",FALSE
"ENCFF188FGR","HNRNPU","K562",TRUE
"ENCFF536HGU","BUD13","HepG2",FALSE
"ENCFF644DWW","BUD13","HepG2",FALSE
"ENCFF608WNY","EXOSC5","HepG2",TRUE
"ENCFF222HEX","PUM1","K562",TRUE
"ENCFF401NJF","DROSHA","HepG2",FALSE
"ENCFF413DZP","DROSHA","HepG2",FALSE
"ENCFF950JUB","GRWD1","HepG2",TRUE
"ENCFF186RBL","FAM120A","HepG2",TRUE
"ENCFF513VDW","CSTF2T","K562",FALSE
"ENCFF859CZM","CSTF2T","K562",FALSE
"ENCFF420FTB","TAF15","HepG2",FALSE
"ENCFF701ZSE","TAF15","HepG2",FALSE
"ENCFF187FER","EFTUD2","K562",FALSE
"ENCFF703QKL","EFTUD2","K562",FALSE
"ENCFF145NQB","DDX55","HepG2",FALSE
"ENCFF714YUM","DDX55","HepG2",FALSE
"ENCFF499MQV","ABCF1","K562",TRUE
"ENCFF037LUF","SF3A3","HepG2",TRUE
"ENCFF284RSI","LIN28B","HepG2",FALSE
"ENCFF756VXR","LIN28B","HepG2",FALSE
"ENCFF351ATM","NONO","K562",FALSE
"ENCFF888NYK","NONO","K562",FALSE
"ENCFF314SWS","U2AF1","K562",FALSE
"ENCFF132PVT","U2AF1","K562",FALSE
"ENCFF487BLB","LARP7","K562",TRUE
"ENCFF953PIV","DDX52","K562",TRUE
"ENCFF954XWJ","NPM1","K562",FALSE
"ENCFF945CYO","NPM1","K562",FALSE
"ENCFF052ORJ","YWHAG","K562",FALSE
"ENCFF186FHG","YWHAG","K562",FALSE
"ENCFF292NQE","PUS1","K562",TRUE
"ENCFF227TON","U2AF2","K562",TRUE
"ENCFF673LOJ","BCLAF1","HepG2",FALSE
"ENCFF510PFS","BCLAF1","HepG2",FALSE
"ENCFF723JLV","EFTUD2","HepG2",TRUE
"ENCFF536KJC","RPS11","K562",TRUE
"ENCFF072CLZ","SF3B4","HepG2",TRUE
"ENCFF769KHB","FASTKD2","K562",FALSE
"ENCFF278SLD","FASTKD2","K562",FALSE
"ENCFF842YPC","EWSR1","K562",FALSE
"ENCFF975NJX","EWSR1","K562",FALSE
"ENCFF685FNB","LARP4","K562",FALSE
"ENCFF773GGY","LARP4","K562",FALSE
"ENCFF400EPM","NIPBL","K562",FALSE
"ENCFF532OLG","NIPBL","K562",FALSE
"ENCFF242MDU","DDX6","K562",FALSE
"ENCFF515CUN","DDX6","K562",FALSE
"ENCFF591FGE","GRWD1","HepG2",FALSE
"ENCFF869UTD","GRWD1","HepG2",FALSE
"ENCFF835KXL","U2AF2","K562",FALSE
"ENCFF936JSP","U2AF2","K562",FALSE
"ENCFF734JUL","SUGP2","HepG2",TRUE
"ENCFF494XRE","HNRNPA1","K562",TRUE
"ENCFF162VKU","AKAP1","HepG2",TRUE
"ENCFF040XCG","FTO","HepG2",FALSE
"ENCFF385LTB","FTO","HepG2",FALSE
"ENCFF113QBT","SDAD1","K562",FALSE
"ENCFF946AMH","SDAD1","K562",FALSE
"ENCFF700YZD","G3BP1","HepG2",TRUE
"ENCFF904WAE","ZC3H11A","HepG2",FALSE
"ENCFF023GYY","ZC3H11A","HepG2",FALSE
"ENCFF132SLV","AGGF1","K562",TRUE
"ENCFF189PHS","TBRG4","HepG2",FALSE
"ENCFF061HNX","TBRG4","HepG2",FALSE
"ENCFF810ZZO","EIF3H","HepG2",FALSE
"ENCFF815GWX","EIF3H","HepG2",FALSE
"ENCFF208OVE","CSTF2T","HepG2",FALSE
"ENCFF562AZL","CSTF2T","HepG2",FALSE
"ENCFF792PAX","NCBP2","K562",TRUE
"ENCFF764UJQ","XPO5","HepG2",FALSE
"ENCFF207XKP","XPO5","HepG2",FALSE
"ENCFF041ETC","PCBP1","K562",FALSE
"ENCFF345TZP","PCBP1","K562",FALSE
"ENCFF162LAM","DDX55","K562",FALSE
"ENCFF553EAL","DDX55","K562",FALSE
"ENCFF394DDJ","TARDBP","K562",TRUE
"ENCFF563VJQ","SRSF1","K562",TRUE
"ENCFF068FML","WRN","K562",TRUE
"ENCFF880NLA","MTPAP","K562",TRUE
"ENCFF969SMQ","DDX3X","K562",FALSE
"ENCFF343OME","DDX3X","K562",FALSE
"ENCFF076WAG","U2AF1","HepG2",TRUE
"ENCFF734RGL","SAFB2","K562",FALSE
"ENCFF402QLV","SAFB2","K562",FALSE
"ENCFF023RGT","DGCR8","K562",FALSE
"ENCFF843HDQ","DGCR8","K562",FALSE
"ENCFF879UID","SLBP","K562",TRUE
"ENCFF899ROO","AQR","K562",TRUE
"ENCFF037JOL","LSM11","K562",TRUE
"ENCFF692YDC","PABPC4","K562",FALSE
"ENCFF551NSA","PABPC4","K562",FALSE
"ENCFF824ZDF","HNRNPC","K562",TRUE
"ENCFF345DPL","LARP7","HepG2",FALSE
"ENCFF086NCN","LARP7","HepG2",FALSE
"ENCFF046FNK","UTP18","K562",FALSE
"ENCFF211AAW","UTP18","K562",FALSE
"ENCFF857OFG","SFPQ","HepG2",FALSE
"ENCFF056KWN","SFPQ","HepG2",FALSE
"ENCFF618EON","DDX52","HepG2",FALSE
"ENCFF340WIB","DDX52","HepG2",FALSE
"ENCFF492GWE","LIN28B","K562",FALSE
"ENCFF068KXE","LIN28B","K562",FALSE
"ENCFF157JBC","FXR2","HepG2",FALSE
"ENCFF500VOG","FXR2","HepG2",FALSE
"ENCFF544NQL","IGF2BP1","K562",FALSE
"ENCFF449VXW","IGF2BP1","K562",FALSE
"ENCFF651VHA","GNL3","K562",TRUE
"ENCFF080HMO","PRPF4","HepG2",FALSE
"ENCFF404WOP","PRPF4","HepG2",FALSE
"ENCFF842FRH","SAFB2","K562",TRUE
"ENCFF559ATC","STAU2","HepG2",FALSE
"ENCFF202ITE","STAU2","HepG2",FALSE
"ENCFF659RKW","PTBP1","K562",FALSE
"ENCFF765BPN","PTBP1","K562",FALSE
"ENCFF117HXE","FUS","HepG2",TRUE
"ENCFF239CML","RBFOX2","HepG2",FALSE
"ENCFF170YQV","RBFOX2","HepG2",FALSE
"ENCFF889YGM","FAM120A","HepG2",FALSE
"ENCFF704TQZ","FAM120A","HepG2",FALSE
"ENCFF462TDG","FTO","K562",FALSE
"ENCFF666GWV","FTO","K562",FALSE
"ENCFF418ZXO","SRSF1","HepG2",FALSE
"ENCFF867TIG","SRSF1","HepG2",FALSE
"ENCFF662MYI","DDX52","HepG2",TRUE
"ENCFF580PEL","TROVE2","HepG2",FALSE
"ENCFF527CKN","TROVE2","HepG2",FALSE
"ENCFF015NHN","IGF2BP3","HepG2",FALSE
"ENCFF270FPU","IGF2BP3","HepG2",FALSE
"ENCFF768FYI","DDX24","K562",FALSE
"ENCFF023VLF","DDX24","K562",FALSE
"ENCFF217MRO","GRWD1","K562",FALSE
"ENCFF330PVJ","GRWD1","K562",FALSE
