"file","protein","cell","input"
"ENCFF407HUR","DDX24","K562",TRUE
"ENCFF086HIT","RBM15","K562",FALSE
"ENCFF739LLZ","RBM15","K562",FALSE
"ENCFF648KRQ","PPIL4","K562",FALSE
"ENCFF823SYP","PPIL4","K562",FALSE
"ENCFF038LJH","DKC1","HepG2",TRUE
"ENCFF931YGS","KHDRBS1","K562",TRUE
"ENCFF096BLA","MTPAP","K562",FALSE
"ENCFF732HBQ","MTPAP","K562",FALSE
"ENCFF378IEN","DDX42","K562",TRUE
"ENCFF358STL","U2AF2","HepG2",FALSE
"ENCFF033XVX","U2AF2","HepG2",FALSE
"ENCFF372YUO","WDR3","K562",FALSE
"ENCFF416OND","WDR3","K562",FALSE
"ENCFF032OPL","IGF2BP1","HepG2",TRUE
"ENCFF143KCR","AKAP8L","K562",FALSE
"ENCFF941SIX","AKAP8L","K562",FALSE
"ENCFF593SPI","DDX6","K562",TRUE
"ENCFF532ADX","HNRNPM","K562",TRUE
"ENCFF362KWY","DDX59","HepG2",FALSE
"ENCFF538KWA","DDX59","HepG2",FALSE
"ENCFF099AXK","RPL23A","HepG2",TRUE
"ENCFF459RQT","FXR2","K562",FALSE
"ENCFF039HYM","FXR2","K562",FALSE
"ENCFF703NSH","DHX30","K562",TRUE
"ENCFF072KEM","GEMIN5","K562",FALSE
"ENCFF091VCD","GEMIN5","K562",FALSE
"ENCFF587PLY","HNRNPU","HepG2",FALSE
"ENCFF125EPG","HNRNPU","HepG2",FALSE
"ENCFF903UGC","DDX20","HepG2",TRUE
"ENCFF090UAF","UTP3","K562",TRUE
"ENCFF561NXC","XRN2","HepG2",TRUE
"ENCFF048BIQ","HNRNPC","K562",FALSE
"ENCFF935AZO","HNRNPC","K562",FALSE
"ENCFF842FFD","CPSF6","K562",TRUE
"ENCFF727JVX","GRWD1","K562",TRUE
"ENCFF503MUZ","UTP18","K562",TRUE
"ENCFF933ESS","PCBP1","HepG2",FALSE
"ENCFF138HUE","PCBP1","HepG2",FALSE
"ENCFF838MYV","NCBP2","HepG2",TRUE
"ENCFF337RLS","XRCC6","K562",FALSE
"ENCFF455DRN","XRCC6","K562",FALSE
"ENCFF157WNL","GTF2F1","HepG2",FALSE
"ENCFF400HJB","GTF2F1","HepG2",FALSE
"ENCFF640KTQ","EFTUD2","K562",TRUE
"ENCFF212EDY","DDX21","K562",TRUE
"ENCFF095KWC","SF3B4","K562",FALSE
"ENCFF173BOO","SF3B4","K562",FALSE
"ENCFF950RRY","HNRNPM","HepG2",FALSE
"ENCFF633FLY","HNRNPM","HepG2",FALSE
"ENCFF405ESF","HNRNPK","K562",FALSE
"ENCFF894NKS","HNRNPK","K562",FALSE
"ENCFF224JPZ","DDX51","K562",TRUE
"ENCFF646GUE","RPS11","K562",FALSE
"ENCFF896PKL","RPS11","K562",FALSE
"ENCFF144QQC","NKRF","HepG2",FALSE
"ENCFF391WTM","NKRF","HepG2",FALSE
"ENCFF852DRN","NOLC1","HepG2",TRUE
"ENCFF483VLR","SF3B4","HepG2",FALSE
"ENCFF040BYE","SF3B4","HepG2",FALSE
"ENCFF064UJY","AATF","K562",TRUE
"ENCFF601NWD","MATR3","HepG2",FALSE
"ENCFF619UHD","MATR3","HepG2",FALSE
"ENCFF824TUZ","PUS1","K562",FALSE
"ENCFF098UHH","PUS1","K562",FALSE
"ENCFF045LAO","RBM22","K562",FALSE
"ENCFF391IBH","RBM22","K562",FALSE
"ENCFF883DQC","DGCR8","HepG2",TRUE
"ENCFF209EIX","HNRNPL","K562",TRUE
"ENCFF252TQP","DKC1","HepG2",FALSE
"ENCFF732TFX","DKC1","HepG2",FALSE
"ENCFF484XJQ","GNL3","K562",FALSE
"ENCFF372XJQ","GNL3","K562",FALSE
"ENCFF130LEJ","METAP2","K562",FALSE
"ENCFF821QWP","METAP2","K562",FALSE
"ENCFF405WBU","KHSRP","K562",TRUE
"ENCFF735PKL","SF3B4","K562",TRUE
"ENCFF996PFW","EIF4G2","K562",FALSE
"ENCFF626NQT","EIF4G2","K562",FALSE
"ENCFF332UNI","EXOSC5","K562",TRUE
"ENCFF064COB","PUM1","K562",FALSE
"ENCFF583QFB","PUM1","K562",FALSE
"ENCFF091VTP","CSTF2","HepG2",TRUE
"ENCFF554TBF","PABPN1","HepG2",TRUE
"ENCFF745EHU","TRA2A","HepG2",FALSE
"ENCFF372BZV","TRA2A","HepG2",FALSE
"ENCFF807WFL","RBM15","HepG2",TRUE
"ENCFF610DOP","ZC3H11A","K562",TRUE
"ENCFF902OZA","TIAL1","HepG2",FALSE
"ENCFF413UKK","TIAL1","HepG2",FALSE
"ENCFF647AFT","PCBP1","K562",TRUE
"ENCFF781OKE","SUPV3L1","K562",TRUE
"ENCFF059KEP","U2AF1","HepG2",FALSE
"ENCFF755DUB","U2AF1","HepG2",FALSE
"ENCFF410PJY","SF3A3","HepG2",FALSE
"ENCFF807GZY","SF3A3","HepG2",FALSE
"ENCFF693DNX","FMR1","K562",FALSE
"ENCFF525EHR","FMR1","K562",FALSE
"ENCFF269QNL","TIA1","HepG2",TRUE
"ENCFF390FNJ","DDX59","HepG2",TRUE
"ENCFF112CRX","SAFB","HepG2",FALSE
"ENCFF535RVD","SAFB","HepG2",FALSE
"ENCFF547AHN","PCBP2","HepG2",FALSE
"ENCFF803QKO","PCBP2","HepG2",FALSE
"ENCFF214XZG","FTO","HepG2",TRUE
"ENCFF802LNA","RBM22","K562",TRUE
"ENCFF459RGB","PPIL4","K562",TRUE
"ENCFF945AUF","GEMIN5","K562",TRUE
"ENCFF912BRE","WDR43","K562",FALSE
"ENCFF580XQC","WDR43","K562",FALSE
"ENCFF952TJF","UCHL5","K562",FALSE
"ENCFF903GDN","UCHL5","K562",FALSE
"ENCFF201XIY","SLTM","HepG2",FALSE
"ENCFF021KOR","SLTM","HepG2",FALSE
"ENCFF264DBW","SSB","HepG2",FALSE
"ENCFF343FAD","SSB","HepG2",FALSE
"ENCFF019JFZ","HNRNPK","HepG2",TRUE
"ENCFF910OEJ","TIA1","K562",TRUE
"ENCFF566TDO","SSB","K562",FALSE
"ENCFF205JFL","SSB","K562",FALSE
"ENCFF127MXD","AKAP1","HepG2",FALSE
"ENCFF780HTF","AKAP1","HepG2",FALSE
"ENCFF216MCK","NIP7","HepG2",FALSE
"ENCFF169ABN","NIP7","HepG2",FALSE
"ENCFF846XXE","TRA2A","K562",FALSE
"ENCFF159MVB","TRA2A","K562",FALSE
"ENCFF961WNO","KHSRP","HepG2",FALSE
